,vmp_nsh,imp_nsh,vmp_nrl,imp_nrl,vmp_nsr,imp_nsr
870,0.8621555923761354,0.9980427012409253,0.9048107138962491,0.9711965569244326,0.9903745025629036,0.8710347232329411
871,0.8631500604490748,0.9980479958153964,0.9063250231239689,0.9718701634045585,0.9903766724624513,0.8720229394225062
872,0.8641445531873481,0.998053261925526,0.9078194892623432,0.9725278037464065,0.9903788341431295,0.8730111609890042
873,0.865139070421161,0.9980584997994932,0.9092942403087723,0.9731698568558704,0.9903809876539337,0.8739993879016463
874,0.8661336119823755,0.9980637096630528,0.910749408124363,0.9737966930463802,0.9903831330434534,0.8749876201298896
875,0.8671281777044892,0.9980688917395663,0.9121851282305818,0.9744086741957242,0.9903852703598769,0.8759758576434353
876,0.8681227674226141,0.9980740462500339,0.9136015396108118,0.9750061539028473,0.9903873996509958,0.8769641004122258
877,0.8691173809734574,0.9980791734131262,0.9149987845168281,0.975589477644381,0.9903895209642082,0.8779523484064424
878,0.8701120181953014,0.9980842734452134,0.9163770082801899,0.9761589829306931,0.9903916343465242,0.8789406015965024
879,0.8711066789279837,0.9980893465603967,0.917736359128541,0.9767149994612528,0.9903937398445695,0.879928859953057
880,0.8721013630128788,0.9980943929705367,0.919076988006804,0.9772578492791276,0.9903958375045886,0.8809171234469891
881,0.8730960702928785,0.9980994128852834,0.9203990484032454,0.9777878469244449,0.9903979273724505,0.8819053920494103
882,0.8740908006123734,0.9981044065121045,0.9217026961803806,0.978305299586664,0.9904000094936509,0.8828936657316593
883,0.8750855538172353,0.998109374056314,0.9229880894106864,0.9788105072555185,0.9904020839133176,0.8838819444652989
884,0.8760803297547975,0.9981143157210992,0.9242553882170758,0.9793037628705031,0.9904041506762135,0.8848702282221143
885,0.8770751282738389,0.998119231707549,0.9255047546180918,0.9797853524687905,0.9904062098267402,0.8858585169741104
886,0.8780699492245655,0.9981241222146803,0.9267363523777679,0.9802555553314758,0.9904082614089426,0.8868468106935099
887,0.8790647924585928,0.9981289874394647,0.9279503468601,0.980714644128057,0.990410305466512,0.8878351093527509
888,0.8800596578289295,0.9981338275768545,0.9291469048880696,0.9811628850590693,0.99041234204279,0.8888234129244847
889,0.8810545451899602,0.9981386428198089,0.9303261946071573,0.9816005379968025,0.9904143711807719,0.8898117213815739
890,0.8820494543974293,0.9981434333593187,0.9314883853532789,0.9820278566240359,0.9904163929231106,0.8908000346970901
891,0.8830443853084248,0.9981481993844313,0.932633647525076,0.9824450885707393,0.9904184073121198,0.8917883528443117
892,0.8840393377813615,0.9981529410822761,0.9337621524604904,0.9828524755486895,0.9904204143897776,0.8927766757967222
893,0.8850343116759651,0.998157658638088,0.9348740723175475,0.9832502534839648,0.9904224141977299,0.8937650035280076
894,0.8860293068532589,0.998162352235231,0.935969579959274,0.983638652647283,0.9904244067772939,0.8947533360120551
